1 100 1.287316
1 2000 1.881026
1 3000 2.043568
1 4000 2.299656
1 5000 2.538516
1 6000 2.809786
1 7000 3.035572
1 8000 3.293214
1 9000 3.538476
1 10000 3.827906
2 100 0.7322324
2 2000 0.9894612
2 3000 1.0331922
2 4000 1.06543
2 5000 1.069534
2 6000 1.09336
2 7000 1.10383
2 8000 1.097836
2 9000 1.135222
2 10000 1.137258
3 100 0.6867346
3 2000 1.022712
3 3000 1.0402274
3 4000 1.058228
3 5000 1.072986
3 6000 1.11743
3 7000 1.166858
3 8000 1.176304
3 9000 1.119936
3 10000 1.15281
4 100 0.700433
4 2000 1.007339
4 3000 1.0625672
4 4000 1.072706
4 5000 1.092872
4 6000 1.089686
4 7000 1.117728
4 8000 1.100904
4 9000 1.13791
4 10000 1.134506
5 100 0.7473148
5 2000 1.0328852
5 3000 1.0623972
5 4000 1.071322
5 5000 1.061724
5 6000 1.13796
5 7000 1.259314
5 8000 1.104552
5 9000 1.150312
5 10000 1.169232
6 100 0.735557
6 2000 1.067258
6 3000 1.0705484
6 4000 1.017742
6 5000 1.123444
6 6000 1.111178
6 7000 1.219742
6 8000 1.179658
6 9000 1.19152
6 10000 1.199948
7 100 0.6961636
7 2000 0.9954072
7 3000 1.0133728
7 4000 1.060052
7 5000 1.074642
7 6000 1.302384
7 7000 1.121888
7 8000 1.281186
7 9000 1.131212
7 10000 1.17901
8 100 0.765657
8 2000 1.213704
8 3000 1.227388
8 4000 1.25065
8 5000 1.283
8 6000 1.299142
8 7000 1.365624
8 8000 1.322272
8 9000 1.33177
8 10000 1.36714
