x,y,p,phi_on_grid
0.00555556,0.327778,1.7966,1.7966
0.00555556,0.333333,1.79006,1.79006
0.00555556,0.338889,1.78343,1.78344
0.00555556,0.344444,1.77673,1.77673
0.00555556,0.35,1.76994,1.76994
0.00555556,0.355556,1.76308,1.76308
0.00555556,0.361111,1.75614,1.75614
0.00555556,0.366667,1.74912,1.74912
0.00555556,0.372222,1.74203,1.74204
0.00555556,0.377778,1.73487,1.73487
0.00555556,0.383333,1.72764,1.72764
0.00555556,0.388889,1.72034,1.72034
0.00555556,0.394444,1.71297,1.71297
0.00555556,0.4,1.70553,1.70554
0.00555556,0.405556,1.69803,1.69804
0.00555556,0.411111,1.69047,1.69048
0.00555556,0.416667,1.68285,1.68286
0.00555556,0.422222,1.67516,1.67518
0.00555556,0.427778,1.66743,1.66744
0.00555556,0.433333,1.65963,1.65964
0.00555556,0.438889,1.65178,1.6518
0.00555556,0.444444,1.64388,1.64389
0.00555556,0.45,1.63593,1.63594
0.00555556,0.455556,1.62793,1.62795
0.00555556,0.461111,1.61989,1.6199
0.00555556,0.466667,1.6118,1.61181
0.00555556,0.472222,1.60366,1.60368
0.00555556,0.477778,1.59549,1.5955
0.00555556,0.483333,1.58728,1.58729
0.00555556,0.488889,1.57903,1.57904
0.00555556,0.494444,1.57074,1.57076
0.0111111,0,1.99975,1.99975
0.0111111,0.00555556,1.99968,1.99969
0.0111111,0.0111111,1.99951,1.99951
0.0111111,0.0166667,1.99921,1.9992
0.0111111,0.0222222,1.99877,1.99877
0.0111111,0.0277778,1.99821,1.99821
0.0111111,0.0333333,1.99754,1.99753
0.0111111,0.0388889,1.99674,1.99673
0.0111111,0.0444444,1.99582,1.99581
0.0111111,0.05,1.99477,1.99476
0.0111111,0.0555556,1.9936,1.99359
0.0111111,0.0611111,1.99231,1.9923
0.0111111,0.0666667,1.9909,1.99088
0.0111111,0.0722222,1.98936,1.98935
0.0111111,0.0777778,1.98771,1.98769
0.0111111,0.0833333,1.98593,1.98591
0.0111111,0.0888889,1.98403,1.98401
0.0111111,0.0944444,1.98201,1.98199
0.0111111,0.1,1.97987,1.97985
0.0111111,0.105556,1.97761,1.97759
0.0111111,0.111111,1.97524,1.97521
0.0111111,0.116667,1.97274,1.97272
0.0111111,0.122222,1.97012,1.9701
0.0111111,0.127778,1.96738,1.96737
0.0111111,0.133333,1.96454,1.96451
0.0111111,0.138889,1.96157,1.96154
0.0111111,0.144444,1.95848,1.95846
0.0111111,0.15,1.95528,1.95526
0.0111111,0.155556,1.95196,1.95194
0.0111111,0.161111,1.94853,1.94851
0.0111111,0.166667,1.94499,1.94497
0.0111111,0.172222,1.94133,1.94131
0.0111111,0.177778,1.93756,1.93754
0.0111111,0.183333,1.93368,1.93366
0.0111111,0.188889,1.92969,1.92967
0.0111111,0.194444,1.92558,1.92557
0.0111111,0.2,1.92137,1.92135
0.0111111,0.205556,1.91705,1.91703
0.0111111,0.211111,1.91262,1.9126
0.0111111,0.216667,1.90808,1.90807
0.0111111,0.222222,1.90344,1.90343
0.0111111,0.227778,1.8987,1.89868
0.0111111,0.233333,1.89385,1.89383
0.0111111,0.238889,1.8889,1.88887
0.0111111,0.244444,1.88384,1.88382
0.0111111,0.25,1.87868,1.87866
0.0111111,0.255556,1.87342,1.8734
