x,y,p,phi_on_grid
0.5,0,1.5625,1.5625
0.5,0.002,1.56248,1.56249
0.5,0.004,1.56245,1.56247
0.5,0.006,1.56239,1.56243
0.5,0.008,1.56232,1.56237
0.5,0.01,1.56224,1.5623
0.5,0.012,1.56214,1.56221
0.5,0.014,1.56203,1.56211
0.5,0.016,1.5619,1.56199
0.5,0.018,1.56175,1.56185
0.5,0.02,1.56159,1.5617
0.5,0.022,1.56141,1.56153
0.5,0.024,1.56121,1.56135
0.5,0.026,1.561,1.56115
0.5,0.028,1.56077,1.56093
0.5,0.03,1.56053,1.5607
0.5,0.032,1.56028,1.56045
0.5,0.034,1.56001,1.56019
0.5,0.036,1.55973,1.55991
0.5,0.038,1.55944,1.55961
0.5,0.04,1.55914,1.5593
0.5,0.042,1.55881,1.55898
0.5,0.044,1.55847,1.55863
0.5,0.046,1.55812,1.55827
0.5,0.048,1.55775,1.5579
0.5,0.05,1.55736,1.55751
0.5,0.052,1.55695,1.5571
0.5,0.054,1.55653,1.55668
0.5,0.056,1.5561,1.55624
0.5,0.058,1.55564,1.55578
0.5,0.06,1.55517,1.55531
0.5,0.062,1.55469,1.55483
0.5,0.064,1.55418,1.55432
0.5,0.066,1.55366,1.55381
0.5,0.068,1.55313,1.55327
0.5,0.07,1.55257,1.55272
0.5,0.072,1.55201,1.55216
0.5,0.074,1.55142,1.55158
0.5,0.076,1.55082,1.55098
0.5,0.078,1.55019,1.55037
0.5,0.08,1.54956,1.54974
0.5,0.082,1.54891,1.5491
0.5,0.084,1.54825,1.54844
0.5,0.086,1.54756,1.54776
0.5,0.088,1.54686,1.54707
0.5,0.09,1.54614,1.54637
0.5,0.092,1.54541,1.54564
0.5,0.094,1.54466,1.54491
0.5,0.096,1.5439,1.54415
0.5,0.098,1.54312,1.54338
0.5,0.1,1.54232,1.5426
0.5,0.102,1.5415,1.5418
0.5,0.104,1.54067,1.54098
0.5,0.106,1.53982,1.54015
0.5,0.108,1.53896,1.53931
0.5,0.11,1.53809,1.53845
0.5,0.112,1.53719,1.53757
0.5,0.114,1.53629,1.53668
0.5,0.116,1.53536,1.53577
0.5,0.118,1.53442,1.53485
0.5,0.12,1.53346,1.53391
0.5,0.122,1.53248,1.53295
0.5,0.124,1.53149,1.53198
0.5,0.126,1.53049,1.531
0.5,0.128,1.52947,1.53
0.5,0.13,1.52844,1.52899
0.5,0.132,1.52739,1.52796
0.5,0.134,1.52632,1.52691
0.5,0.136,1.52524,1.52585
0.5,0.138,1.52414,1.52477
0.5,0.14,1.52302,1.52368
0.5,0.142,1.52188,1.52258
0.5,0.144,1.52072,1.52146
0.5,0.146,1.51956,1.52032
0.5,0.148,1.51837,1.51917
0.5,0.15,1.51717,1.51801
0.5,0.152,1.51596,1.51683
0.5,0.154,1.51474,1.51563
0.5,0.156,1.5135,1.51442
0.5,0.158,1.51225,1.5132
0.5,0.16,1.51099,1.51196
0.5,0.162,1.50972,1.5107
0.5,0.164,1.50843,1.50943
0.5,0.166,1.50713,1.50815
0.5,0.168,1.50581,1.50685
0.5,0.17,1.50448,1.50554
0.5,0.172,1.50314,1.50421
0.5,0.174,1.50179,1.50286
0.5,0.176,1.50042,1.50151
0.5,0.178,1.49904,1.50014
0.5,0.18,1.49765,1.49875
0.5,0.182,1.49624,1.49735
0.5,0.184,1.49481,1.49593
0.5,0.186,1.49338,1.4945
0.5,0.188,1.49193,1.49306
0.5,0.19,1.49047,1.4916
0.5,0.192,1.48899,1.49013
0.5,0.194,1.4875,1.48864
0.5,0.196,1.486,1.48714
0.5,0.198,1.48448,1.48563
0.5,0.2,1.48295,1.4841
0.5,0.202,1.48141,1.48256
0.5,0.204,1.47985,1.481
0.5,0.206,1.47828,1.47943
0.5,0.208,1.4767,1.47784
0.5,0.21,1.4751,1.47624
0.5,0.212,1.47349,1.47463
0.5,0.214,1.47187,1.47301
0.5,0.216,1.47023,1.47136
0.5,0.218,1.46858,1.46971
0.5,0.22,1.46691,1.46804
0.5,0.222,1.46524,1.46636
0.5,0.224,1.46355,1.46467
0.5,0.226,1.46185,1.46296
0.5,0.228,1.46013,1.46123
0.5,0.23,1.4584,1.4595
0.5,0.232,1.45666,1.45775
0.5,0.234,1.4549,1.45599
