x,y,p,phi_on_grid
0,0.5,1.5625,1.5625
0,0.51,1.54745,1.54745
0,0.52,1.53232,1.53232
0,0.53,1.5171,1.5171
0,0.54,1.50183,1.50183
0,0.55,1.48651,1.48651
0,0.56,1.47114,1.47114
0,0.57,1.45576,1.45576
0,0.58,1.44036,1.44036
0,0.59,1.42497,1.42497
0,0.6,1.4096,1.4096
0,0.61,1.39426,1.39426
0,0.62,1.37896,1.37896
0,0.63,1.36373,1.36373
0,0.64,1.34857,1.34857
0,0.65,1.33351,1.33351
0,0.66,1.31855,1.31855
0,0.67,1.30371,1.30371
0,0.68,1.28901,1.28901
0,0.69,1.27447,1.27447
0,0.7,1.2601,1.2601
0,0.71,1.24592,1.24592
0,0.72,1.23194,1.23194
0,0.73,1.21818,1.21818
0,0.74,1.20467,1.20467
0,0.75,1.19141,1.19141
0,0.76,1.17842,1.17842
0,0.77,1.16573,1.16573
0,0.78,1.15335,1.15335
0,0.79,1.1413,1.1413
0,0.8,1.1296,1.1296
0,0.81,1.11827,1.11827
0,0.82,1.10732,1.10732
0,0.83,1.09678,1.09678
0,0.84,1.08667,1.08667
0,0.85,1.07701,1.07701
0,0.86,1.06781,1.06781
0,0.87,1.0591,1.0591
0,0.88,1.0509,1.0509
0,0.89,1.04322,1.04322
0,0.9,1.0361,1.0361
0,0.91,1.02955,1.02955
0,0.92,1.02359,1.02359
0,0.93,1.01825,1.01825
0,0.94,1.01355,1.01355
0,0.95,1.00951,1.00951
0,0.96,1.00615,1.00615
0,0.97,1.00349,1.00349
0,0.98,1.00157,1.00157
0,0.99,1.0004,1.0004
0,1,1,1
0.01,0.5,1.56227,1.5623
0.01,0.51,1.54723,1.54725
0.01,0.52,1.53209,1.53212
0.01,0.53,1.51688,1.5169
0.01,0.54,1.50161,1.50163
0.01,0.55,1.48628,1.48631
0.01,0.56,1.47092,1.47094
0.01,0.57,1.45553,1.45556
0.01,0.58,1.44015,1.44016
0.01,0.59,1.42476,1.42477
0.01,0.6,1.40938,1.4094
0.01,0.61,1.39405,1.39406
0.01,0.62,1.37875,1.37876
0.01,0.63,1.36353,1.36353
0.01,0.64,1.34837,1.34837
0.01,0.65,1.3333,1.33331
0.01,0.66,1.31835,1.31835
0.01,0.67,1.30352,1.30351
0.01,0.68,1.28883,1.28881
0.01,0.69,1.27429,1.27427
0.01,0.7,1.25992,1.2599
0.01,0.71,1.24575,1.24572
0.01,0.72,1.23176,1.23174
0.01,0.73,1.218,1.21798
0.01,0.74,1.20448,1.20447
0.01,0.75,1.19121,1.19121
0.01,0.76,1.17823,1.17822
0.01,0.77,1.16554,1.16553
0.01,0.78,1.15317,1.15315
0.01,0.79,1.14113,1.1411
0.01,0.8,1.12943,1.1294
0.01,0.81,1.1181,1.11807
0.01,0.82,1.10714,1.10712
0.01,0.83,1.0966,1.09658
0.01,0.84,1.08648,1.08647
0.01,0.85,1.07681,1.07681
0.01,0.86,1.06761,1.06761
0.01,0.87,1.05889,1.0589
0.01,0.88,1.05068,1.0507
0.01,0.89,1.04301,1.04302
0.01,0.9,1.03589,1.0359
0.01,0.91,1.02934,1.02935
0.01,0.92,1.02338,1.02339
0.01,0.93,1.01804,1.01805
0.01,0.94,1.01333,1.01335
0.01,0.95,1.00929,1.00931
0.01,0.96,1.00594,1.00595
0.01,0.97,1.00328,1.00329
0.01,0.98,1.00136,1.00137
0.01,0.99,1.00019,1.0002
0.01,1,0.9998,0.9998
0.02,0.5,1.56166,1.5617
0.02,0.51,1.54661,1.54665
0.02,0.52,1.53147,1.53152
0.02,0.53,1.51626,1.5163
0.02,0.54,1.50099,1.50103
0.02,0.55,1.48566,1.48571
0.02,0.56,1.47031,1.47035
0.02,0.57,1.45492,1.45496
0.02,0.58,1.43953,1.43957
0.02,0.59,1.42415,1.42417
0.02,0.6,1.40878,1.4088
0.02,0.61,1.39344,1.39346
0.02,0.62,1.37815,1.37816
0.02,0.63,1.36293,1.36293
0.02,0.64,1.34777,1.34777
0.02,0.65,1.33272,1.33271
0.02,0.66,1.31776,1.31775
0.02,0.67,1.30294,1.30291
0.02,0.68,1.28825,1.28821
0.02,0.69,1.27372,1.27367
0.02,0.7,1.25935,1.2593
0.02,0.71,1.24517,1.24512
0.02,0.72,1.23119,1.23114
0.02,0.73,1.21743,1.21738
0.02,0.74,1.2039,1.20387
0.02,0.75,1.19064,1.19061
0.02,0.76,1.17764,1.17762
0.02,0.77,1.16496,1.16493
0.02,0.78,1.15259,1.15255
0.02,0.79,1.14055,1.1405
0.02,0.8,1.12887,1.1288
0.02,0.81,1.11753,1.11747
0.02,0.82,1.10657,1.10652
0.02,0.83,1.09602,1.09598
0.02,0.84,1.08589,1.08587
0.02,0.85,1.07622,1.07621
0.02,0.86,1.06702,1.06701
0.02,0.87,1.05829,1.0583
0.02,0.88,1.05008,1.0501
0.02,0.89,1.0424,1.04242
0.02,0.9,1.03528,1.0353
0.02,0.91,1.02873,1.02875
0.02,0.92,1.02277,1.02279
0.02,0.93,1.01743,1.01745
0.02,0.94,1.01273,1.01275
0.02,0.95,1.00869,1.00871
0.02,0.96,1.00533,1.00535
0.02,0.97,1.00268,1.00269
0.02,0.98,1.00076,1.00077
0.02,0.99,0.999593,0.999596
0.02,1,0.9992,0.9992
0.03,0.5,1.56063,1.5607
0.03,0.51,1.54558,1.54565
0.03,0.52,1.53045,1.53052
0.03,0.53,1.51524,1.51531
0.03,0.54,1.49997,1.50003
0.03,0.55,1.48465,1.48471
0.03,0.56,1.46929,1.46935
0.03,0.57,1.45391,1.45396
0.03,0.58,1.43852,1.43857
0.03,0.59,1.42314,1.42317
0.03,0.6,1.40777,1.4078
0.03,0.61,1.39243,1.39246
0.03,0.62,1.37715,1.37716
0.03,0.63,1.36192,1.36193
0.03,0.64,1.34678,1.34677
0.03,0.65,1.33173,1.33171
0.03,0.66,1.31678,1.31675
0.03,0.67,1.30196,1.30191
0.03,0.68,1.28727,1.28721
0.03,0.69,1.27274,1.27267
0.03,0.7,1.25838,1.2583
0.03,0.71,1.24419,1.24412
0.03,0.72,1.23022,1.23014
0.03,0.73,1.21645,1.21638
0.03,0.74,1.20293,1.20287
0.03,0.75,1.18966,1.18961
0.03,0.76,1.17667,1.17662
0.03,0.77,1.16398,1.16393
0.03,0.78,1.15161,1.15155
0.03,0.79,1.13958,1.1395
0.03,0.8,1.12789,1.1278
0.03,0.81,1.11656,1.11647
0.03,0.82,1.10558,1.10552
0.03,0.83,1.09504,1.09498
0.03,0.84,1.08491,1.08487
0.03,0.85,1.07523,1.07521
0.03,0.86,1.06603,1.06601
0.03,0.87,1.05729,1.0573
0.03,0.88,1.04907,1.0491
