0 0 2
0 0.00625 1.99992
0 0.0125 1.99969
0 0.01875 1.9993
0 0.025 1.99875
0 0.03125 1.99805
0 0.0375 1.99719
0 0.04375 1.99618
0 0.05 1.99501
0 0.05625 1.99368
0 0.0625 1.9922
0 0.06875 1.99057
0 0.075 1.98878
0 0.08125 1.98684
0 0.0875 1.98475
0 0.09375 1.9825
0 0.1 1.9801
0 0.10625 1.97755
0 0.1125 1.97485
0 0.11875 1.972
0 0.125 1.96899
0 0.13125 1.96584
0 0.1375 1.96254
0 0.14375 1.9591
0 0.15 1.95551
0 0.15625 1.95177
0 0.1625 1.94788
0 0.16875 1.94386
0 0.175 1.93969
0 0.18125 1.93538
0 0.1875 1.93092
0 0.19375 1.92633
0 0.2 1.9216
0 0.20625 1.91673
0 0.2125 1.91173
0 0.21875 1.90659
0 0.225 1.90131
0 0.23125 1.89591
0 0.2375 1.89037
0 0.24375 1.8847
0 0.25 1.87891
0 0.25625 1.87298
0 0.2625 1.86694
0 0.26875 1.86076
0 0.275 1.85447
0 0.28125 1.84805
0 0.2875 1.84152
0 0.29375 1.83487
0 0.3 1.8281
0 0.30625 1.82122
0 0.3125 1.81422
0 0.31875 1.80712
0 0.325 1.79991
0 0.33125 1.79259
0 0.3375 1.78516
0 0.34375 1.77763
0 0.35 1.77001
0 0.35625 1.76228
0 0.3625 1.75446
0 0.36875 1.74654
0 0.375 1.73853
0 0.38125 1.73042
0 0.3875 1.72223
0 0.39375 1.71396
0 0.4 1.7056
0 0.40625 1.69716
0 0.4125 1.68864
0 0.41875 1.68005
0 0.425 1.67138
0 0.43125 1.66263
0 0.4375 1.65382
0 0.44375 1.64495
0 0.45 1.63601
0 0.45625 1.627
0 0.4625 1.61794
0 0.46875 1.60883
0 0.475 1.59966
0 0.48125 1.59044
0 0.4875 1.58117
0 0.49375 1.57185
0.00625 0 1.99992
0.00625 0.00625 1.99985
0.00625 0.0125 1.99962
0.00625 0.01875 1.99922
0.00625 0.025 1.99868
0.00625 0.03125 1.99798
0.00625 0.0375 1.99712
0.00625 0.04375 1.9961
0.00625 0.05 1.99494
0.00625 0.05625 1.99361
0.00625 0.0625 1.99213
0.00625 0.06875 1.9905
0.00625 0.075 1.98871
0.00625 0.08125 1.98677
0.00625 0.0875 1.98468
0.00625 0.09375 1.98243
0.00625 0.1 1.98003
0.00625 0.10625 1.97748
0.00625 0.1125 1.97478
0.00625 0.11875 1.97193
0.00625 0.125 1.96893
0.00625 0.13125 1.96577
0.00625 0.1375 1.96248
0.00625 0.14375 1.95903
0.00625 0.15 1.95544
0.00625 0.15625 1.9517
0.00625 0.1625 1.94782
0.00625 0.16875 1.94379
0.00625 0.175 1.93962
0.00625 0.18125 1.93531
0.00625 0.1875 1.93086
0.00625 0.19375 1.92626
0.00625 0.2 1.92153
0.00625 0.20625 1.91666
0.00625 0.2125 1.91166
0.00625 0.21875 1.90652
0.00625 0.225 1.90124
0.00625 0.23125 1.89584
0.00625 0.2375 1.8903
0.00625 0.24375 1.88464
0.00625 0.25 1.87884
0.00625 0.25625 1.87292
0.00625 0.2625 1.86687
0.00625 0.26875 1.8607
0.00625 0.275 1.8544
0.00625 0.28125 1.84798
0.00625 0.2875 1.84145
0.00625 0.29375 1.8348
0.00625 0.3 1.82803
0.00625 0.30625 1.82114
0.00625 0.3125 1.81415
0.00625 0.31875 1.80704
0.00625 0.325 1.79983
0.00625 0.33125 1.79251
0.00625 0.3375 1.78509
0.00625 0.34375 1.77756
0.00625 0.35 1.76993
0.00625 0.35625 1.7622
0.00625 0.3625 1.75438
0.00625 0.36875 1.74646
0.00625 0.375 1.73845
0.00625 0.38125 1.73034
0.00625 0.3875 1.72215
0.00625 0.39375 1.71388
0.00625 0.4 1.70552
0.00625 0.40625 1.69707
0.00625 0.4125 1.68856
0.00625 0.41875 1.67996
0.00625 0.425 1.67129
0.00625 0.43125 1.66255
0.00625 0.4375 1.65374
0.00625 0.44375 1.64486
0.00625 0.45 1.63592
0.00625 0.45625 1.62692
0.00625 0.4625 1.61785
0.00625 0.46875 1.60874
0.00625 0.475 1.59957
0.00625 0.48125 1.59035
0.00625 0.4875 1.58108
0.00625 0.49375 1.57176
0.0125 0 1.99969
0.0125 0.00625 1.99962
0.0125 0.0125 1.99938
0.0125 0.01875 1.99898
0.0125 0.025 1.99844
0.0125 0.03125 1.99774
0.0125 0.0375 1.99688
0.0125 0.04375 1.99587
0.0125 0.05 1.9947
0.0125 0.05625 1.99338
0.0125 0.0625 1.9919
0.0125 0.06875 1.99027
0.0125 0.075 1.98848
0.0125 0.08125 1.98654
0.0125 0.0875 1.98445
0.0125 0.09375 1.9822
0.0125 0.1 1.97981
0.0125 0.10625 1.97726
0.0125 0.1125 1.97455
0.0125 0.11875 1.9717
0.0125 0.125 1.9687
0.0125 0.13125 1.96555
0.0125 0.1375 1.96226
0.0125 0.14375 1.95881
0.0125 0.15 1.95522
0.0125 0.15625 1.95148
0.0125 0.1625 1.94759
0.0125 0.16875 1.94356
0.0125 0.175 1.9394
0.0125 0.18125 1.93509
0.0125 0.1875 1.93063
0.0125 0.19375 1.92604
0.0125 0.2 1.92131
0.0125 0.20625 1.91643
0.0125 0.2125 1.91143
0.0125 0.21875 1.90629
0.0125 0.225 1.90102
0.0125 0.23125 1.89561
0.0125 0.2375 1.89008
0.0125 0.24375 1.88441
0.0125 0.25 1.87861
0.0125 0.25625 1.87269
0.0125 0.2625 1.86664
0.0125 0.26875 1.86047
0.0125 0.275 1.85417
0.0125 0.28125 1.84776
