x,y,p,phi_on_grid
0.5,0.5,1.1255,1.125
0.5,0.505556,1.11717,1.11665
0.5,0.511111,1.1088,1.10827
0.5,0.516667,1.10041,1.09987
0.5,0.522222,1.09199,1.09144
0.5,0.527778,1.08355,1.08299
0.5,0.533333,1.07509,1.07452
0.5,0.538889,1.06661,1.06603
0.5,0.544444,1.05811,1.05753
0.5,0.55,1.04959,1.04901
0.5,0.555556,1.04106,1.04048
0.5,0.561111,1.03252,1.03194
0.5,0.566667,1.02396,1.02339
0.5,0.572222,1.0154,1.01484
0.5,0.577778,1.00683,1.00629
0.5,0.583333,0.998255,0.997733
0.5,0.588889,0.989679,0.989183
0.5,0.594444,0.981095,0.980638
0.5,0.6,0.972519,0.9721
0.5,0.605556,0.963946,0.963572
0.5,0.611111,0.955383,0.955056
0.5,0.616667,0.946838,0.946556
0.5,0.622222,0.93831,0.938072
0.5,0.627778,0.929803,0.929609
0.5,0.633333,0.921327,0.921168
0.5,0.638889,0.912878,0.912752
0.5,0.644444,0.904465,0.904364
0.5,0.65,0.896092,0.896006
0.5,0.655556,0.887751,0.887682
0.5,0.661111,0.879455,0.879393
0.5,0.666667,0.871195,0.871142
0.5,0.672222,0.862969,0.862933
0.5,0.677778,0.854793,0.854767
0.5,0.683333,0.846655,0.846648
0.5,0.688889,0.838576,0.838579
0.5,0.694444,0.830558,0.830562
0.5,0.7,0.822599,0.8226
0.5,0.705556,0.814709,0.814696
0.5,0.711111,0.806888,0.806853
0.5,0.716667,0.799128,0.799074
0.5,0.722222,0.791443,0.791362
0.5,0.727778,0.783832,0.783719
0.5,0.733333,0.776292,0.776149
0.5,0.738889,0.768843,0.768655
0.5,0.744444,0.761475,0.76124
0.5,0.75,0.754196,0.753906
0.5,0.755556,0.747015,0.746658
0.5,0.761111,0.739924,0.739497
0.5,0.766667,0.732922,0.732427
0.5,0.772222,0.726016,0.725452
0.5,0.777778,0.719194,0.718574
0.5,0.783333,0.712463,0.711796
0.5,0.788889,0.705834,0.705123
0.5,0.794444,0.699297,0.698556
0.5,0.8,0.69286,0.6921
0.5,0.805556,0.686528,0.685757
0.5,0.811111,0.680301,0.679532
0.5,0.816667,0.674191,0.673426
0.5,0.822222,0.668218,0.667444
0.5,0.827778,0.662369,0.661589
0.5,0.833333,0.656639,0.655864
0.5,0.838889,0.65103,0.650273
0.5,0.844444,0.645537,0.644819
0.5,0.85,0.640174,0.639506
0.5,0.855556,0.634964,0.634337
0.5,0.861111,0.629901,0.629316
0.5,0.866667,0.624975,0.624446
0.5,0.872222,0.620193,0.61973
0.5,0.877778,0.615574,0.615173
0.5,0.883333,0.611114,0.610778
0.5,0.888889,0.606856,0.606548
0.5,0.894444,0.602774,0.602488
0.5,0.9,0.598879,0.5986
0.5,0.905556,0.595159,0.594889
0.5,0.911111,0.591623,0.591358
0.5,0.916667,0.588276,0.588011
0.5,0.922222,0.58509,0.584852
0.5,0.927778,0.582101,0.581885
0.5,0.933333,0.579317,0.579112
0.5,0.938889,0.576727,0.576539
0.5,0.944444,0.574349,0.574169
0.5,0.95,0.572185,0.572006
0.5,0.955556,0.570208,0.570054
0.5,0.961111,0.568443,0.568316
0.5,0.966667,0.566912,0.566798
0.5,0.972222,0.565607,0.565501
0.5,0.977778,0.564518,0.564432
0.5,0.983333,0.563656,0.563593
0.5,0.988889,0.56303,0.562988
0.5,0.994444,0.562642,0.562623
0.5,1,0.5625,0.5625
0.505556,0.5,1.11717,1.11665
0.505556,0.505556,1.10883,1.1083
0.505556,0.511111,1.10047,1.09993
0.505556,0.516667,1.09208,1.09152
0.505556,0.522222,1.08366,1.08309
0.505556,0.527778,1.07522,1.07464
0.505556,0.533333,1.06675,1.06617
0.505556,0.538889,1.05827,1.05768
0.505556,0.544444,1.04977,1.04918
0.505556,0.55,1.04125,1.04066
0.505556,0.555556,1.03272,1.03213
0.505556,0.561111,1.02418,1.02359
0.505556,0.566667,1.01562,1.01504
0.505556,0.572222,1.00705,1.00649
0.505556,0.577778,0.998478,0.997938
0.505556,0.583333,0.989897,0.989385
0.505556,0.588889,0.981318,0.980835
0.505556,0.594444,0.972735,0.972289
0.505556,0.6,0.964158,0.963752
0.505556,0.605556,0.955586,0.955224
0.505556,0.611111,0.947021,0.946708
0.505556,0.616667,0.938475,0.938207
0.505556,0.622222,0.929942,0.929724
0.505556,0.627778,0.921436,0.92126
0.505556,0.633333,0.91296,0.912819
0.505556,0.638889,0.904514,0.904404
0.505556,0.644444,0.896103,0.896016
0.505556,0.65,0.88773,0.887658
0.505556,0.655556,0.879387,0.879333
0.505556,0.661111,0.871086,0.871044
0.505556,0.666667,0.862821,0.862794
0.505556,0.672222,0.854594,0.854584
0.505556,0.677778,0.846419,0.846419
0.505556,0.683333,0.838284,0.8383
0.505556,0.688889,0.830206,0.83023
0.505556,0.694444,0.822187,0.822213
0.505556,0.7,0.814225,0.814252
0.505556,0.705556,0.806333,0.806348
0.505556,0.711111,0.798511,0.798505
0.505556,0.716667,0.790753,0.790726
0.505556,0.722222,0.78307,0.783013
0.505556,0.727778,0.775458,0.775371
0.505556,0.733333,0.767914,0.767801
0.505556,0.738889,0.760463,0.760307
0.505556,0.744444,0.753096,0.752891
0.505556,0.75,0.74582,0.745558
0.505556,0.755556,0.738643,0.738309
0.505556,0.761111,0.73155,0.731148
0.505556,0.766667,0.724545,0.724079
0.505556,0.772222,0.717636,0.717103
0.505556,0.777778,0.710815,0.710225
0.505556,0.783333,0.704088,0.703448
0.505556,0.788889,0.697465,0.696774
0.505556,0.794444,0.690927,0.690208
0.505556,0.8,0.684486,0.683752
0.505556,0.805556,0.678153,0.677409
0.505556,0.811111,0.671929,0.671183
0.505556,0.816667,0.665826,0.665078
0.505556,0.822222,0.659857,0.659096
0.505556,0.827778,0.654006,0.653241
0.505556,0.833333,0.648273,0.647516
0.505556,0.838889,0.642666,0.641925
0.505556,0.844444,0.637181,0.636471
0.505556,0.85,0.631823,0.631158
0.505556,0.855556,0.626613,0.625989
0.505556,0.861111,0.621549,0.620967
0.505556,0.866667,0.616622,0.616097
0.505556,0.872222,0.611851,0.611382
0.505556,0.877778,0.607229,0.606825
0.505556,0.883333,0.602777,0.602429
0.505556,0.888889,0.598498,0.5982
0.505556,0.894444,0.59443,0.594139
0.505556,0.9,0.590527,0.590252
0.505556,0.905556,0.586809,0.58654
0.505556,0.911111,0.583276,0.58301
0.505556,0.916667,0.579915,0.579663
0.505556,0.922222,0.576746,0.576504
0.505556,0.927778,0.57376,0.573536
0.505556,0.933333,0.570963,0.570764
0.505556,0.938889,0.568376,0.568191
0.505556,0.944444,0.566001,0.565821
0.505556,0.95,0.563834,0.563658
0.505556,0.955556,0.561864,0.561706
0.505556,0.961111,0.560093,0.559968
0.505556,0.966667,0.558557,0.558449
0.505556,0.972222,0.557262,0.557153
0.505556,0.977778,0.556175,0.556083
0.505556,0.983333,0.5553,0.555244
0.505556,0.988889,0.554678,0.55464
0.505556,0.994444,0.554303,0.554274
0.505556,1,0.554152,0.554152
0.511111,0.5,1.1088,1.10827
0.511111,0.505556,1.10047,1.09993
0.511111,0.511111,1.0921,1.09155
0.511111,0.516667,1.08371,1.08314
0.511111,0.522222,1.07529,1.07472
0.511111,0.527778,1.06684,1.06627
0.511111,0.533333,1.05838,1.05779
0.511111,0.538889,1.04989,1.0493
0.511111,0.544444,1.04139,1.0408
0.511111,0.55,1.03287,1.03228
0.511111,0.555556,1.02434,1.02375
0.511111,0.561111,1.01579,1.01521
0.511111,0.566667,1.00723,1.00666
0.511111,0.572222,0.998663,0.998114
0.511111,0.577778,0.990089,0.989561
0.511111,0.583333,0.981504,0.981008
0.511111,0.588889,0.972926,0.972458
0.511111,0.594444,0.964337,0.963912
0.511111,0.6,0.955759,0.955374
0.511111,0.605556,0.947184,0.946846
0.511111,0.611111,0.938619,0.938331
0.511111,0.616667,0.930074,0.92983
0.511111,0.622222,0.921545,0.921347
0.511111,0.627778,0.913042,0.912883
0.511111,0.633333,0.904567,0.904442
0.511111,0.638889,0.896119,0.896026
0.511111,0.644444,0.887707,0.887638
0.511111,0.65,0.879329,0.879281
0.511111,0.655556,0.870985,0.870956
0.511111,0.661111,0.862682,0.862667
0.511111,0.666667,0.854417,0.854416
0.511111,0.672222,0.846188,0.846207
0.511111,0.677778,0.838012,0.838041
0.511111,0.683333,0.829875,0.829923
0.511111,0.688889,0.821797,0.821853
0.511111,0.694444,0.81378,0.813836
0.511111,0.7,0.805819,0.805874
0.511111,0.705556,0.797929,0.797971
0.511111,0.711111,0.790104,0.790128
0.511111,0.716667,0.782343,0.782349
0.511111,0.722222,0.774656,0.774636
0.511111,0.727778,0.767042,0.766994
0.511111,0.733333,0.759502,0.759424
0.511111,0.738889,0.752055,0.75193
0.511111,0.744444,0.74469,0.744514
0.511111,0.75,0.737412,0.737181
0.511111,0.755556,0.730231,0.729932
0.511111,0.761111,0.723135,0.722771
0.511111,0.766667,0.716132,0.715702
0.511111,0.772222,0.709227,0.708726
0.511111,0.777778,0.702409,0.701848
0.511111,0.783333,0.695682,0.695071
0.511111,0.788889,0.689057,0.688397
0.511111,0.794444,0.682518,0.681831
0.511111,0.8,0.676079,0.675374
0.511111,0.805556,0.669749,0.669032
0.511111,0.811111,0.663527,0.662806
0.511111,0.816667,0.657424,0.6567
0.511111,0.822222,0.651455,0.650718
0.511111,0.827778,0.645606,0.644863
0.511111,0.833333,0.639876,0.639139
0.511111,0.838889,0.634273,0.633548
0.511111,0.844444,0.628787,0.628094
0.511111,0.85,0.623431,0.622781
0.511111,0.855556,0.618225,0.617612
0.511111,0.861111,0.613164,0.61259
0.511111,0.866667,0.608242,0.60772
0.511111,0.872222,0.603467,0.603005
0.511111,0.877778,0.598852,0.598447
0.511111,0.883333,0.594392,0.594052
0.511111,0.888889,0.59013,0.589823
0.511111,0.894444,0.586045,0.585762
0.511111,0.9,0.582146,0.581874
0.511111,0.905556,0.57842,0.578163
0.511111,0.911111,0.574886,0.574632
0.511111,0.916667,0.57154,0.571286
0.511111,0.922222,0.568359,0.568126
0.511111,0.927778,0.565374,0.565159
0.511111,0.933333,0.562587,0.562387
0.511111,0.938889,0.559995,0.559814
0.511111,0.944444,0.557618,0.557444
0.511111,0.95,0.555452,0.555281
0.511111,0.955556,0.553479,0.553328
0.511111,0.961111,0.551716,0.551591
0.511111,0.966667,0.550184,0.550072
