(h + 10*t)*(x+2)^16;(15*h + 4*t)*(x+2)^15;(h + 11*t)*(x+2)^14;14*t*(x+2)^13;(11*h + 4*t)*(x+2)^12;(4*h + 4*t)*(x+2)^11;(5*h + 13*t)*(x+2)^10;(h + 7*t)*(x+2)^9;(9*h + 8*t)*(x+2)^8;(5*h + 15*t)*(x+2)^7;(5*h + 10*t)*(x+2)^6;(12*h + 11*t)*(x+2)^5;(13*h + 12*t)*(x+2)^4;(15*h + 3*t)*(x+2)^3;(11*h + 5*t)*(x+2)^2;(3*h + 13*t)*(x+2);(14*h + t)
(h + 11*t)*(x+2)^16;(h + 6*t)*(x+2)^15;(16*h + 15*t)*(x+2)^14;(6*h + 5*t)*(x+2)^13;(2*h + 3*t)*(x+2)^12;(8*h + 2*t)*(x+2)^11;(11*h + 9*t)*(x+2)^10;(7*h + 16*t)*(x+2)^9;(3*h + 9*t)*(x+2)^8;7*h*(x+2)^7;14*t*(x+2)^6;(9*h + 2*t)*(x+2)^5;(11*h + 11*t)*(x+2)^4;(3*h + 2*t)*(x+2)^3;(3*h + 11*t)*(x+2)^2;(4*h + 5*t)*(x+2);(h + 10*t)
(h + 12*t)*(x+2)^16;(4*h + 8*t)*(x+2)^15;(14*h + 2*t)*(x+2)^14;(12*h + 13*t)*(x+2)^13;(10*h + 2*t)*(x+2)^12;12*h*(x+2)^11;5*t*(x+2)^10;(13*h + 8*t)*(x+2)^9;(14*h + 10*t)*(x+2)^8;(9*h + 2*t)*(x+2)^7;(12*h + t)*(x+2)^6;(6*h + 10*t)*(x+2)^5;(9*h + 10*t)*(x+2)^4;(8*h + t)*(x+2)^3;12*h*(x+2)^2;(5*h + 14*t)*(x+2);(5*h + 6*t)
(h + 13*t)*(x+2)^16;(7*h + 10*t)*(x+2)^15;(12*h + 6*t)*(x+2)^14;(h + 4*t)*(x+2)^13;(h + t)*(x+2)^12;(16*h + 15*t)*(x+2)^11;(6*h + t)*(x+2)^10;2*h*(x+2)^9;(8*h + 11*t)*(x+2)^8;(11*h + 4*t)*(x+2)^7;(7*h + 5*t)*(x+2)^6;(3*h + t)*(x+2)^5;(7*h + 9*t)*(x+2)^4;13*h*(x+2)^3;(4*h + 6*t)*(x+2)^2;(6*h + 6*t)*(x+2);(9*h + 11*t)
(h + 14*t)*(x+2)^16;(10*h + 12*t)*(x+2)^15;(10*h + 10*t)*(x+2)^14;(7*h + 12*t)*(x+2)^13;9*h*(x+2)^12;(3*h + 13*t)*(x+2)^11;(12*h + 14*t)*(x+2)^10;(8*h + 9*t)*(x+2)^9;(2*h + 12*t)*(x+2)^8;(13*h + 6*t)*(x+2)^7;(2*h + 9*t)*(x+2)^6;9*t*(x+2)^5;(5*h + 8*t)*(x+2)^4;(h + 16*t)*(x+2)^3;(13*h + 12*t)*(x+2)^2;(7*h + 15*t)*(x+2);(13*h + 3*t)
(h + 15*t)*(x+2)^16;(13*h + 14*t)*(x+2)^15;(8*h + 14*t)*(x+2)^14;(13*h + 3*t)*(x+2)^13;16*t*(x+2)^12;(7*h + 11*t)*(x+2)^11;(h + 10*t)*(x+2)^10;(14*h + t)*(x+2)^9;(13*h + 13*t)*(x+2)^8;(15*h + 8*t)*(x+2)^7;(14*h + 13*t)*(x+2)^6;14*h*(x+2)^5;(3*h + 7*t)*(x+2)^4;(6*h + 15*t)*(x+2)^3;(5*h + t)*(x+2)^2;(8*h + 7*t)*(x+2);12*t
(h + 16*t)*(x+2)^16;(16*h + 16*t)*(x+2)^15;(6*h + t)*(x+2)^14;(2*h + 11*t)*(x+2)^13;(8*h + 15*t)*(x+2)^12;(11*h + 9*t)*(x+2)^11;(7*h + 6*t)*(x+2)^10;(3*h + 10*t)*(x+2)^9;(7*h + 14*t)*(x+2)^8;10*t*(x+2)^7;9*h*(x+2)^6;(11*h + 8*t)*(x+2)^5;(h + 6*t)*(x+2)^4;(11*h + 14*t)*(x+2)^3;(14*h + 7*t)*(x+2)^2;(9*h + 16*t)*(x+2);(4*h + 4*t)

h*(x+3)^16;(3*h + t)*(x+3)^15;(9*h + 7*t)*(x+3)^14;(10*h + 3*t)*(x+3)^13;(13*h + 5*t)*(x+3)^12;(5*h + 16*t)*(x+3)^11;(15*h + t)*(x+3)^10;(11*h + 2*t)*(x+3)^9;(16*h + 2*t)*(x+3)^8;(14*h + 7*t)*(x+3)^7;(8*h + 8*t)*(x+3)^6;(7*h + 6*t)*(x+3)^5;(4*h + 14*t)*(x+3)^4;(13*h + 8*t)*(x+3)^3;(9*h + 7*t)*(x+3)^2;(7*h + 6*t)*(x+3);(16*h + 2*t)
t*(x+3)^16;(3*h + 3*t)*(x+3)^15;(4*h + 9*t)*(x+3)^14;(9*h + 10*t)*(x+3)^13;(15*h + 13*t)*(x+3)^12;(14*h + 5*t)*(x+3)^11;(3*h + 15*t)*(x+3)^10;(6*h + 11*t)*(x+3)^9;(6*h + 16*t)*(x+3)^8;(4*h + 14*t)*(x+3)^7;(7*h + 8*t)*(x+3)^6;(h + 7*t)*(x+3)^5;(8*h + 4*t)*(x+3)^4;(7*h + 13*t)*(x+3)^3;(8*h + 9*t)*(x+3)^2;(6*h + 7*t)*(x+3);(5*h + 16*t)
(h + t)*(x+3)^16;(6*h + 4*t)*(x+3)^15;(13*h + 16*t)*(x+3)^14;(2*h + 13*t)*(x+3)^13;(11*h + t)*(x+3)^12;(2*h + 4*t)*(x+3)^11;(h + 16*t)*(x+3)^10;13*t*(x+3)^9;(5*h + t)*(x+3)^8;(h + 4*t)*(x+3)^7;(15*h + 16*t)*(x+3)^6;(8*h + 13*t)*(x+3)^5;(12*h + t)*(x+3)^4;(3*h + 4*t)*(x+3)^3;16*t*(x+3)^2;(13*h + 13*t)*(x+3);(4*h + t)
(h + 2*t)*(x+3)^16;(9*h + 7*t)*(x+3)^15;8*t*(x+3)^14;(11*h + 6*t)*(x+3)^13;(9*h + 14*t)*(x+3)^12;(16*h + 9*t)*(x+3)^11;(4*h + 14*t)*(x+3)^10;(6*h + 7*t)*(x+3)^9;11*h*(x+3)^8;(5*h + t)*(x+3)^7;(5*h + 7*t)*(x+3)^6;(9*h + 3*t)*(x+3)^5;(3*h + 5*t)*(x+3)^4;10*h*(x+3)^3;(8*h + 8*t)*(x+3)^2;(2*h + 3*t)*(x+3);9*h
(h + 3*t)*(x+3)^16;(12*h + 10*t)*(x+3)^15;4*h*(x+3)^14;(3*h + 16*t)*(x+3)^13;(7*h + 10*t)*(x+3)^12;(13*h + 14*t)*(x+3)^11;(7*h + 12*t)*(x+3)^10;(12*h + t)*(x+3)^9;16*t*(x+3)^8;(9*h + 15*t)*(x+3)^7;(12*h + 15*t)*(x+3)^6;(10*h + 10*t)*(x+3)^5;(11*h + 9*t)*(x+3)^4;13*t*(x+3)^3;16*h*(x+3)^2;(8*h + 10*t)*(x+3);(14*h + 16*t)
(h + 4*t)*(x+3)^16;(15*h + 13*t)*(x+3)^15;(8*h + 9*t)*(x+3)^14;(12*h + 9*t)*(x+3)^13;(5*h + 6*t)*(x+3)^12;(10*h + 2*t)*(x+3)^11;(10*h + 10*t)*(x+3)^10;(h + 12*t)*(x+3)^9;(6*h + 15*t)*(x+3)^8;(13*h + 12*t)*(x+3)^7;(2*h + 6*t)*(x+3)^6;11*h*(x+3)^5;(2*h + 13*t)*(x+3)^4;(7*h + 9*t)*(x+3)^3;(7*h + 9*t)*(x+3)^2;14*h*(x+3);(2*h + 15*t)
(h + 5*t)*(x+3)^16;(h + 16*t)*(x+3)^15;(12*h + t)*(x+3)^14;(4*h + 2*t)*(x+3)^13;(3*h + 2*t)*(x+3)^12;(7*h + 7*t)*(x+3)^11;(13*h + 8*t)*(x+3)^10;(7*h + 6*t)*(x+3)^9;(12*h + 14*t)*(x+3)^8;9*t*(x+3)^7;(9*h + 14*t)*(x+3)^6;(12*h + 7*t)*(x+3)^5;10*h*(x+3)^4;(14*h + 5*t)*(x+3)^3;(15*h + t)*(x+3)^2;(3*h + 7*t)*(x+3);(7*h + 14*t)
(h + 6*t)*(x+3)^16;(4*h + 2*t)*(x+3)^15;(16*h + 10*t)*(x+3)^14;(13*h + 12*t)*(x+3)^13;(h + 15*t)*(x+3)^12;(4*h + 12*t)*(x+3)^11;(16*h + 6*t)*(x+3)^10;13*h*(x+3)^9;(h + 13*t)*(x+3)^8;(4*h + 6*t)*(x+3)^7;(16*h + 5*t)*(x+3)^6;(13*h + 14*t)*(x+3)^5;(h + 4*t)*(x+3)^4;(4*h + t)*(x+3)^3;(6*h + 10*t)*(x+3)^2;(9*h + 14*t)*(x+3);(12*h + 13*t)
(h + 7*t)*(x+3)^16;(7*h + 5*t)*(x+3)^15;(3*h + 2*t)*(x+3)^14;(5*h + 5*t)*(x+3)^13;(16*h + 11*t)*(x+3)^12;h*(x+3)^11;(2*h + 4*t)*(x+3)^10;(2*h + 11*t)*(x+3)^9;(7*h + 12*t)*(x+3)^8;(8*h + 3*t)*(x+3)^7;(6*h + 13*t)*(x+3)^6;(14*h + 4*t)*(x+3)^5;(9*h + 8*t)*(x+3)^4;(11*h + 14*t)*(x+3)^3;(14*h + 2*t)*(x+3)^2;(15*h + 4*t)*(x+3);12*t
(h + 8*t)*(x+3)^16;(10*h + 8*t)*(x+3)^15;(7*h + 11*t)*(x+3)^14;(14*h + 15*t)*(x+3)^13;(14*h + 7*t)*(x+3)^12;(15*h + 5*t)*(x+3)^11;(5*h + 2*t)*(x+3)^10;(8*h + 5*t)*(x+3)^9;(13*h + 11*t)*(x+3)^8;12*h*(x+3)^7;(13*h + 4*t)*(x+3)^6;(15*h + 11*t)*(x+3)^5;12*t*(x+3)^4;(h + 10*t)*(x+3)^3;(5*h + 11*t)*(x+3)^2;4*h*(x+3);(5*h + 11*t)
(h + 9*t)*(x+3)^16;(13*h + 11*t)*(x+3)^15;(11*h + 3*t)*(x+3)^14;(6*h + 8*t)*(x+3)^13;(12*h + 3*t)*(x+3)^12;(12*h + 10*t)*(x+3)^11;8*h*(x+3)^10;(14*h + 16*t)*(x+3)^9;(2*h + 10*t)*(x+3)^8;(16*h + 14*t)*(x+3)^7;(3*h + 12*t)*(x+3)^6;(16*h + t)*(x+3)^5;(8*h + 16*t)*(x+3)^4;(8*h + 6*t)*(x+3)^3;(13*h + 3*t)*(x+3)^2;(10*h + 6*t)*(x+3);(10*h + 11*t)
(h + 10*t)*(x+3)^16;(16*h + 14*t)*(x+3)^15;(15*h + 12*t)*(x+3)^14;(15*h + t)*(x+3)^13;(10*h + 16*t)*(x+3)^12;(9*h + 15*t)*(x+3)^11;(11*h + 15*t)*(x+3)^10;(3*h + 10*t)*(x+3)^9;(8*h + 9*t)*(x+3)^8;(3*h + 11*t)*(x+3)^7;(10*h + 3*t)*(x+3)^6;8*t*(x+3)^5;(16*h + 3*t)*(x+3)^4;(15*h + 2*t)*(x+3)^3;(4*h + 12*t)*(x+3)^2;(16*h + 11*t)*(x+3);(15*h + 12*t)
(h + 11*t)*(x+3)^16;2*h*(x+3)^15;(2*h + 4*t)*(x+3)^14;(7*h + 11*t)*(x+3)^13;(8*h + 12*t)*(x+3)^12;(6*h + 3*t)*(x+3)^11;(14*h + 13*t)*(x+3)^10;(9*h + 4*t)*(x+3)^9;(14*h + 8*t)*(x+3)^8;(7*h + 8*t)*(x+3)^7;11*t*(x+3)^6;(h + 15*t)*(x+3)^5;(7*h + 7*t)*(x+3)^4;(5*h + 15*t)*(x+3)^3;(12*h + 4*t)*(x+3)^2;5*h*(x+3);(3*h + 12*t)
(h + 12*t)*(x+3)^16;(5*h + 3*t)*(x+3)^15;(6*h + 13*t)*(x+3)^14;(16*h + 4*t)*(x+3)^13;(6*h + 8*t)*(x+3)^12;(3*h + 8*t)*(x+3)^11;11*t*(x+3)^10;(15*h + 15*t)*(x+3)^9;(3*h + 7*t)*(x+3)^8;(11*h + 5*t)*(x+3)^7;(7*h + 2*t)*(x+3)^6;(2*h + 5*t)*(x+3)^5;(15*h + 11*t)*(x+3)^4;(12*h + 11*t)*(x+3)^3;(3*h + 13*t)*(x+3)^2;(11*h + 6*t)*(x+3);(8*h + 12*t)
(h + 13*t)*(x+3)^16;(8*h + 6*t)*(x+3)^15;(10*h + 5*t)*(x+3)^14;(8*h + 14*t)*(x+3)^13;(4*h + 4*t)*(x+3)^12;13*t*(x+3)^11;(3*h + 9*t)*(x+3)^10;(4*h + 9*t)*(x+3)^9;(9*h + 6*t)*(x+3)^8;(15*h + 2*t)*(x+3)^7;(14*h + 10*t)*(x+3)^6;(3*h + 12*t)*(x+3)^5;(6*h + 15*t)*(x+3)^4;(2*h + 7*t)*(x+3)^3;(11*h + 5*t)*(x+3)^2;12*t*(x+3);(13*h + 13*t)
(h + 14*t)*(x+3)^16;(11*h + 9*t)*(x+3)^15;(14*h + 14*t)*(x+3)^14;7*t*(x+3)^13;2*h*(x+3)^12;(14*h + t)*(x+3)^11;(6*h + 7*t)*(x+3)^10;(10*h + 3*t)*(x+3)^9;(15*h + 5*t)*(x+3)^8;(2*h + 16*t)*(x+3)^7;(4*h + t)*(x+3)^6;(4*h + 2*t)*(x+3)^5;(14*h + 2*t)*(x+3)^4;(9*h + 3*t)*(x+3)^3;(2*h + 14*t)*(x+3)^2;(6*h + t)*(x+3);(h + 13*t)
(h + 15*t)*(x+3)^16;(14*h + 12*t)*(x+3)^15;(h + 6*t)*(x+3)^14;9*h*(x+3)^13;13*t*(x+3)^12;(11*h + 6*t)*(x+3)^11;(9*h + 5*t)*(x+3)^10;(16*h + 14*t)*(x+3)^9;(4*h + 4*t)*(x+3)^8;(6*h + 13*t)*(x+3)^7;(11*h + 9*t)*(x+3)^6;(5*h + 9*t)*(x+3)^5;(5*h + 6*t)*(x+3)^4;(16*h + 16*t)*(x+3)^3;(10*h + 6*t)*(x+3)^2;(12*h + 7*t)*(x+3);(6*h + 13*t)
(h + 16*t)*(x+3)^16;15*t*(x+3)^15;(5*h + 15*t)*(x+3)^14;(h + 10*t)*(x+3)^13;(15*h + 9*t)*(x+3)^12;(8*h + 11*t)*(x+3)^11;(12*h + 3*t)*(x+3)^10;(5*h + 8*t)*(x+3)^9;(10*h + 3*t)*(x+3)^8;(10*h + 10*t)*(x+3)^7;h*(x+3)^6;(6*h + 16*t)*(x+3)^5;(13*h + 10*t)*(x+3)^4;(6*h + 12*t)*(x+3)^3;(h + 15*t)*(x+3)^2;(h + 13*t)*(x+3);(11*h + 14*t)

h*(x+4)^16;(4*h + t)*(x+4)^15;(16*h + 9*t)*(x+4)^14;(13*h + 10*t)*(x+4)^13;(h + 12*t)*(x+4)^12;(4*h + 10*t)*(x+4)^11;(16*h + 3*t)*(x+4)^10;(13*h + 14*t)*(x+4)^9;(h + 15*t)*(x+4)^8;(4*h + 8*t)*(x+4)^7;(16*h + 10*t)*(x+4)^6;(13*h + 15*t)*(x+4)^5;(h + 3*t)*(x+4)^4;(5*h + 15*t)*(x+4)^3;(3*h + 12*t)*(x+4)^2;(3*h + 4*t)*(x+4);(4*h + 14*t)
t*(x+4)^16;(3*h + 4*t)*(x+4)^15;(10*h + 16*t)*(x+4)^14;(13*h + 13*t)*(x+4)^13;(2*h + t)*(x+4)^12;(13*h + 4*t)*(x+4)^11;(9*h + 16*t)*(x+4)^10;(8*h + 13*t)*(x+4)^9;(11*h + t)*(x+4)^8;(7*h + 4*t)*(x+4)^7;(13*h + 16*t)*(x+4)^6;(11*h + 13*t)*(x+4)^5;(9*h + t)*(x+4)^4;(11*h + 5*t)*(x+4)^3;(6*h + 3*t)*(x+4)^2;(9*h + 3*t)*(x+4);(6*h + 4*t)
(h + t)*(x+4)^16;(7*h + 5*t)*(x+4)^15;(9*h + 8*t)*(x+4)^14;(9*h + 6*t)*(x+4)^13;(3*h + 13*t)*(x+4)^12;14*t*(x+4)^11;(8*h + 2*t)*(x+4)^10;(4*h + 10*t)*(x+4)^9;(12*h + 16*t)*(x+4)^8;(11*h + 12*t)*(x+4)^7;(12*h + 9*t)*(x+4)^6;(7*h + 11*t)*(x+4)^5;(10*h + 4*t)*(x+4)^4;(16*h + 3*t)*(x+4)^3;(9*h + 15*t)*(x+4)^2;(12*h + 7*t)*(x+4);(10*h + t)
(h + 2*t)*(x+4)^16;(10*h + 9*t)*(x+4)^15;(2*h + 7*t)*(x+4)^14;(5*h + 2*t)*(x+4)^13;(5*h + 14*t)*(x+4)^12;(13*h + t)*(x+4)^11;t*(x+4)^10;(12*h + 6*t)*(x+4)^9;6*h*(x+4)^8;(h + 16*t)*(x+4)^7;(8*h + 8*t)*(x+4)^6;(h + 7*t)*(x+4)^5;(2*h + 5*t)*(x+4)^4;(10*h + 8*t)*(x+4)^3;(15*h + t)*(x+4)^2;(4*h + 10*t)*(x+4);(16*h + 5*t)
(h + 3*t)*(x+4)^16;(13*h + 13*t)*(x+4)^15;(12*h + 6*t)*(x+4)^14;(h + 15*t)*(x+4)^13;(7*h + 15*t)*(x+4)^12;(9*h + 5*t)*(x+4)^11;9*h*(x+4)^10;(3*h + 2*t)*(x+4)^9;t*(x+4)^8;(8*h + 3*t)*(x+4)^7;(4*h + 7*t)*(x+4)^6;(12*h + 3*t)*(x+4)^5;(11*h + 6*t)*(x+4)^4;(4*h + 13*t)*(x+4)^3;(4*h + 4*t)*(x+4)^2;(13*h + 13*t)*(x+4);(5*h + 9*t)
(h + 4*t)*(x+4)^16;16*h*(x+4)^15;(5*h + 5*t)*(x+4)^14;(14*h + 11*t)*(x+4)^13;(9*h + 16*t)*(x+4)^12;(5*h + 9*t)*(x+4)^11;(h + 16*t)*(x+4)^10;(11*h + 15*t)*(x+4)^9;(11*h + 2*t)*(x+4)^8;(15*h + 7*t)*(x+4)^7;6*t*(x+4)^6;(6*h + 16*t)*(x+4)^5;(3*h + 7*t)*(x+4)^4;(15*h + t)*(x+4)^3;(10*h + 7*t)*(x+4)^2;(5*h + 16*t)*(x+4);(11*h + 13*t)
(h + 5*t)*(x+4)^16;(2*h + 4*t)*(x+4)^15;(15*h + 4*t)*(x+4)^14;(10*h + 7*t)*(x+4)^13;11*h*(x+4)^12;(h + 13*t)*(x+4)^11;(10*h + 15*t)*(x+4)^10;(2*h + 11*t)*(x+4)^9;(5*h + 3*t)*(x+4)^8;(5*h + 11*t)*(x+4)^7;(13*h + 5*t)*(x+4)^6;12*t*(x+4)^5;(12*h + 8*t)*(x+4)^4;(9*h + 6*t)*(x+4)^3;(16*h + 10*t)*(x+4)^2;(14*h + 2*t)*(x+4);
(h + 6*t)*(x+4)^16;(5*h + 8*t)*(x+4)^15;(8*h + 3*t)*(x+4)^14;(6*h + 3*t)*(x+4)^13;(13*h + t)*(x+4)^12;14*h*(x+4)^11;(2*h + 14*t)*(x+4)^10;(10*h + 7*t)*(x+4)^9;(16*h + 4*t)*(x+4)^8;(12*h + 15*t)*(x+4)^7;(9*h + 4*t)*(x+4)^6;(11*h + 8*t)*(x+4)^5;(4*h + 9*t)*(x+4)^4;(3*h + 11*t)*(x+4)^3;(5*h + 13*t)*(x+4)^2;(6*h + 5*t)*(x+4);(6*h + 4*t)
(h + 7*t)*(x+4)^16;(8*h + 12*t)*(x+4)^15;(h + 2*t)*(x+4)^14;(2*h + 16*t)*(x+4)^13;(15*h + 2*t)*(x+4)^12;(10*h + 4*t)*(x+4)^11;(11*h + 13*t)*(x+4)^10;(h + 3*t)*(x+4)^9;(10*h + 5*t)*(x+4)^8;(2*h + 2*t)*(x+4)^7;(5*h + 3*t)*(x+4)^6;(5*h + 4*t)*(x+4)^5;(13*h + 10*t)*(x+4)^4;(14*h + 16*t)*(x+4)^3;(11*h + 16*t)*(x+4)^2;(15*h + 8*t)*(x+4);(12*h + 8*t)
(h + 8*t)*(x+4)^16;(11*h + 16*t)*(x+4)^15;(11*h + t)*(x+4)^14;(15*h + 12*t)*(x+4)^13;3*t*(x+4)^12;(6*h + 8*t)*(x+4)^11;(3*h + 12*t)*(x+4)^10;(9*h + 16*t)*(x+4)^9;(4*h + 6*t)*(x+4)^8;(9*h + 6*t)*(x+4)^7;(h + 2*t)*(x+4)^6;16*h*(x+4)^5;(5*h + 11*t)*(x+4)^4;(8*h + 4*t)*(x+4)^3;2*t*(x+4)^2;(7*h + 11*t)*(x+4);(h + 12*t)
(h + 9*t)*(x+4)^16;(14*h + 3*t)*(x+4)^15;4*h*(x+4)^14;(11*h + 8*t)*(x+4)^13;(2*h + 4*t)*(x+4)^12;(2*h + 12*t)*(x+4)^11;(12*h + 11*t)*(x+4)^10;12*t*(x+4)^9;(15*h + 7*t)*(x+4)^8;(16*h + 10*t)*(x+4)^7;(14*h + t)*(x+4)^6;(10*h + 13*t)*(x+4)^5;(14*h + 12*t)*(x+4)^4;(2*h + 9*t)*(x+4)^3;(6*h + 5*t)*(x+4)^2;(16*h + 14*t)*(x+4);(7*h + 16*t)
(h + 10*t)*(x+4)^16;7*t*(x+4)^15;(14*h + 16*t)*(x+4)^14;(7*h + 4*t)*(x+4)^13;(4*h + 5*t)*(x+4)^12;(15*h + 16*t)*(x+4)^11;(4*h + 10*t)*(x+4)^10;(8*h + 8*t)*(x+4)^9;(9*h + 8*t)*(x+4)^8;(6*h + 14*t)*(x+4)^7;10*h*(x+4)^6;(4*h + 9*t)*(x+4)^5;(6*h + 13*t)*(x+4)^4;(13*h + 14*t)*(x+4)^3;(12*h + 8*t)*(x+4)^2;8*h*(x+4);(13*h + 3*t)
(h + 11*t)*(x+4)^16;(3*h + 11*t)*(x+4)^15;(7*h + 15*t)*(x+4)^14;3*h*(x+4)^13;(6*h + 6*t)*(x+4)^12;(11*h + 3*t)*(x+4)^11;(13*h + 9*t)*(x+4)^10;(16*h + 4*t)*(x+4)^9;(3*h + 9*t)*(x+4)^8;(13*h + t)*(x+4)^7;(6*h + 16*t)*(x+4)^6;(15*h + 5*t)*(x+4)^5;(15*h + 14*t)*(x+4)^4;(7*h + 2*t)*(x+4)^3;(h + 11*t)*(x+4)^2;3*t*(x+4);(2*h + 7*t)
(h + 12*t)*(x+4)^16;(6*h + 15*t)*(x+4)^15;14*t*(x+4)^14;(16*h + 13*t)*(x+4)^13;(8*h + 7*t)*(x+4)^12;(7*h + 7*t)*(x+4)^11;(5*h + 8*t)*(x+4)^10;7*h*(x+4)^9;(14*h + 10*t)*(x+4)^8;(3*h + 5*t)*(x+4)^7;(2*h + 15*t)*(x+4)^6;(9*h + t)*(x+4)^5;(7*h + 15*t)*(x+4)^4;(h + 7*t)*(x+4)^3;(7*h + 14*t)*(x+4)^2;(9*h + 6*t)*(x+4);(8*h + 11*t)
(h + 13*t)*(x+4)^16;(9*h + 2*t)*(x+4)^15;(10*h + 13*t)*(x+4)^14;(12*h + 9*t)*(x+4)^13;(10*h + 8*t)*(x+4)^12;(3*h + 11*t)*(x+4)^11;(14*h + 7*t)*(x+4)^10;(15*h + 13*t)*(x+4)^9;(8*h + 11*t)*(x+4)^8;(10*h + 9*t)*(x+4)^7;(15*h + 14*t)*(x+4)^6;(3*h + 14*t)*(x+4)^5;(16*h + 16*t)*(x+4)^4;(12*h + 12*t)*(x+4)^3;13*h*(x+4)^2;(h + 9*t)*(x+4);(14*h + 15*t)
(h + 14*t)*(x+4)^16;(12*h + 6*t)*(x+4)^15;(3*h + 12*t)*(x+4)^14;(8*h + 5*t)*(x+4)^13;(12*h + 9*t)*(x+4)^12;(16*h + 15*t)*(x+4)^11;(6*h + 6*t)*(x+4)^10;(6*h + 9*t)*(x+4)^9;(2*h + 12*t)*(x+4)^8;13*t*(x+4)^7;(11*h + 13*t)*(x+4)^6;(14*h + 10*t)*(x+4)^5;8*h*(x+4)^4;6*h*(x+4)^3;(2*h + 3*t)*(x+4)^2;(10*h + 12*t)*(x+4);(3*h + 2*t)
(h + 15*t)*(x+4)^16;(15*h + 10*t)*(x+4)^15;(13*h + 11*t)*(x+4)^14;(4*h + t)*(x+4)^13;(14*h + 10*t)*(x+4)^12;(12*h + 2*t)*(x+4)^11;(15*h + 5*t)*(x+4)^10;(14*h + 5*t)*(x+4)^9;(13*h + 13*t)*(x+4)^8;7*h*(x+4)^7;(7*h + 12*t)*(x+4)^6;(8*h + 6*t)*(x+4)^5;t*(x+4)^4;5*t*(x+4)^3;(8*h + 6*t)*(x+4)^2;(2*h + 15*t)*(x+4);(9*h + 6*t)
(h + 16*t)*(x+4)^16;(h + 14*t)*(x+4)^15;(6*h + 10*t)*(x+4)^14;14*t*(x+4)^13;(16*h + 11*t)*(x+4)^12;(8*h + 6*t)*(x+4)^11;(7*h + 4*t)*(x+4)^10;(5*h + t)*(x+4)^9;(7*h + 14*t)*(x+4)^8;(14*h + 4*t)*(x+4)^7;(3*h + 11*t)*(x+4)^6;(2*h + 2*t)*(x+4)^5;(9*h + 2*t)*(x+4)^4;(11*h + 10*t)*(x+4)^3;(14*h + 9*t)*(x+4)^2;(11*h + t)*(x+4);(15*h + 10*t)

h*(x+5)^16;(5*h + t)*(x+5)^15;(8*h + 11*t)*(x+5)^14;(6*h + 6*t)*(x+5)^13;(13*h + 8*t)*(x+5)^12;(14*h + 10*t)*(x+5)^11;(2*h + 6*t)*(x+5)^10;(10*h + 4*t)*(x+5)^9;16*h*(x+5)^8;(12*h + 16*t)*(x+5)^7;(9*h + 6*t)*(x+5)^6;(11*h + 11*t)*(x+5)^5;(4*h + 9*t)*(x+5)^4;(4*h + 6*t)*(x+5)^3;(16*h + 10*t)*(x+5)^2;(9*h + 11*t)*(x+5);t
t*(x+5)^16;(3*h + 5*t)*(x+5)^15;(16*h + 8*t)*(x+5)^14;(h + 6*t)*(x+5)^13;(7*h + 13*t)*(x+5)^12;(13*h + 14*t)*(x+5)^11;(h + 2*t)*(x+5)^10;(12*h + 10*t)*(x+5)^9;16*t*(x+5)^8;(14*h + 12*t)*(x+5)^7;(h + 9*t)*(x+5)^6;(16*h + 11*t)*(x+5)^5;(10*h + 4*t)*(x+5)^4;(h + 4*t)*(x+5)^3;16*t*(x+5)^2;(5*h + 9*t)*(x+5);8*h
(h + t)*(x+5)^16;(8*h + 6*t)*(x+5)^15;(7*h + 2*t)*(x+5)^14;(7*h + 12*t)*(x+5)^13;(3*h + 4*t)*(x+5)^12;(10*h + 7*t)*(x+5)^11;(3*h + 8*t)*(x+5)^10;(5*h + 14*t)*(x+5)^9;(16*h + 16*t)*(x+5)^8;(9*h + 11*t)*(x+5)^7;(10*h + 15*t)*(x+5)^6;(10*h + 5*t)*(x+5)^5;(14*h + 13*t)*(x+5)^4;(5*h + 10*t)*(x+5)^3;(16*h + 9*t)*(x+5)^2;(14*h + 3*t)*(x+5);(8*h + t)
(h + 2*t)*(x+5)^16;(11*h + 11*t)*(x+5)^15;(6*h + 10*t)*(x+5)^14;(8*h + t)*(x+5)^13;10*h*(x+5)^12;(6*h + 4*t)*(x+5)^11;(4*h + 10*t)*(x+5)^10;7*t*(x+5)^9;(16*h + 15*t)*(x+5)^8;(6*h + 6*t)*(x+5)^7;(11*h + 7*t)*(x+5)^6;(9*h + 16*t)*(x+5)^5;7*h*(x+5)^4;(6*h + 14*t)*(x+5)^3;(16*h + 8*t)*(x+5)^2;(2*h + 12*t)*(x+5);(16*h + t)
(h + 3*t)*(x+5)^16;(14*h + 16*t)*(x+5)^15;(5*h + t)*(x+5)^14;(9*h + 7*t)*(x+5)^13;13*t*(x+5)^12;(2*h + t)*(x+5)^11;(5*h + 12*t)*(x+5)^10;12*h*(x+5)^9;(16*h + 14*t)*(x+5)^8;(3*h + t)*(x+5)^7;(12*h + 16*t)*(x+5)^6;(8*h + 10*t)*(x+5)^5;4*t*(x+5)^4;(7*h + t)*(x+5)^3;(16*h + 7*t)*(x+5)^2;(7*h + 4*t)*(x+5);(7*h + t)
