(h + 13*t)*x^16;(5*h + t)*x^15;(5*h + t)*x^14;(5*h + t)*x^13;(5*h + t)*x^12;(5*h + t)*x^11;(5*h + t)*x^10;(5*h + t)*x^9;(5*h + t)*x^8;(5*h + t)*x^7;(5*h + t)*x^6;(5*h + t)*x^5;(5*h + t)*x^4;(3*h + 7*t)*x^3;(6*h + 14*t)*x^2;12*t*x;(7*h + 4*t)
(h + 14*t)*x^16;(8*h + t)*x^15;(8*h + t)*x^14;(8*h + t)*x^13;(8*h + t)*x^12;(8*h + t)*x^11;(8*h + t)*x^10;(8*h + t)*x^9;(8*h + t)*x^8;(8*h + t)*x^7;(8*h + t)*x^6;(8*h + t)*x^5;(8*h + t)*x^4;8*t*x^3;(6*h + 8*t)*x^2;(3*h + 6*t)*x;
(h + 15*t)*x^16;(11*h + t)*x^15;(11*h + t)*x^14;(11*h + t)*x^13;(11*h + t)*x^12;(11*h + t)*x^11;(11*h + t)*x^10;(11*h + t)*x^9;(11*h + t)*x^8;(11*h + t)*x^7;(11*h + t)*x^6;(11*h + t)*x^5;(11*h + t)*x^4;(16*h + 10*t)*x^3;(2*h + 6*t)*x^2;(8*h + 2*t)*x;10*h
(h + 16*t)*x^16;(14*h + t)*x^15;(14*h + t)*x^14;(14*h + t)*x^13;(14*h + t)*x^12;(14*h + t)*x^11;(14*h + t)*x^10;(14*h + t)*x^9;(14*h + t)*x^8;(14*h + t)*x^7;(14*h + t)*x^6;(14*h + t)*x^5;(14*h + t)*x^4;(15*h + 10*t)*x^3;4*h*x^2;(7*h + 15*t)*x;(7*h + 15*t)

h*(x+1)^16;(h + t)*(x+1)^15;(h + 3*t)*(x+1)^14;(h + 7*t)*(x+1)^13;(h + 15*t)*(x+1)^12;(h + 14*t)*(x+1)^11;(h + 12*t)*(x+1)^10;(h + 8*t)*(x+1)^9;h*(x+1)^8;(h + t)*(x+1)^7;(h + 3*t)*(x+1)^6;(h + 7*t)*(x+1)^5;(h + 15*t)*(x+1)^4;(2*h + 13*t)*(x+1)^3;(14*h + 16*t)*(x+1)^2;(h + 15*t)*(x+1);(16*h + 2*t)
t*(x+1)^16;(3*h + t)*(x+1)^15;(9*h + t)*(x+1)^14;(4*h + t)*(x+1)^13;(11*h + t)*(x+1)^12;(8*h + t)*(x+1)^11;(2*h + t)*(x+1)^10;(7*h + t)*(x+1)^9;t*(x+1)^8;(3*h + t)*(x+1)^7;(9*h + t)*(x+1)^6;(4*h + t)*(x+1)^5;(11*h + t)*(x+1)^4;(5*h + 2*t)*(x+1)^3;(h + 14*t)*(x+1)^2;(3*h + t)*(x+1);(2*h + 16*t)
(h + t)*(x+1)^16;(4*h + 2*t)*(x+1)^15;(10*h + 4*t)*(x+1)^14;(5*h + 8*t)*(x+1)^13;(12*h + 16*t)*(x+1)^12;(9*h + 15*t)*(x+1)^11;(3*h + 13*t)*(x+1)^10;(8*h + 9*t)*(x+1)^9;(h + t)*(x+1)^8;(4*h + 2*t)*(x+1)^7;(10*h + 4*t)*(x+1)^6;(5*h + 8*t)*(x+1)^5;(12*h + 16*t)*(x+1)^4;(7*h + 15*t)*(x+1)^3;(5*h + 12*t)*(x+1)^2;(2*h + 7*t)*(x+1);16*h
(h + 2*t)*(x+1)^16;(7*h + 3*t)*(x+1)^15;(2*h + 5*t)*(x+1)^14;(9*h + 9*t)*(x+1)^13;6*h*(x+1)^12;16*t*(x+1)^11;(5*h + 14*t)*(x+1)^10;(15*h + 10*t)*(x+1)^9;(h + 2*t)*(x+1)^8;(7*h + 3*t)*(x+1)^7;(2*h + 5*t)*(x+1)^6;(9*h + 9*t)*(x+1)^5;6*h*(x+1)^4;12*h*(x+1)^3;(13*h + 10*t)*(x+1)^2;(3*h + 8*t)*(x+1);
(h + 3*t)*(x+1)^16;(10*h + 4*t)*(x+1)^15;(11*h + 6*t)*(x+1)^14;(13*h + 10*t)*(x+1)^13;t*(x+1)^12;8*h*(x+1)^11;(7*h + 15*t)*(x+1)^10;(5*h + 11*t)*(x+1)^9;(h + 3*t)*(x+1)^8;(10*h + 4*t)*(x+1)^7;(11*h + 6*t)*(x+1)^6;(13*h + 10*t)*(x+1)^5;t*(x+1)^4;2*t*(x+1)^3;(4*h + 7*t)*(x+1)^2;(4*h + 9*t)*(x+1);(16*h + 16*t)
